Code,Company,Sector,Market Cap,Weight(%),,
AGL,AGL Energy Ltd,Utilities,"10,537,700,000",0.84,,
AMC,Amcor Plc,Materials,"14,532,200,000",1.16,,
AMP,AMP Ltd,Financials,"5,756,300,000",0.46,,
APA,APA Group,Utilities,"13,592,400,000",1.08,,
ALL,Aristocrat Leisure Ltd,Consumer Discretionary,"16,908,600,000",1.35,,
ASX,ASX Ltd,Financials,"17,015,100,000",1.35,,
AZJ,Aurizon Holdings Ltd,Industrials,"9,180,470,000",0.73,,
ANZ,Australia and New Zealand Banking Group Ltd,Financials,"51,193,000,000",4.08,,
BHP,BHP Group Ltd,Materials,"105,196,000,000",8.37,,
BXB,Brambles Ltd,Industrials,"17,635,900,000",1.4,,
CTX,Caltex Australia Ltd,Energy,"6,322,580,000",0.5,,
COH,Cochlear Ltd,Health Care,"12,744,000,000",1.01,,
COL,Coles Group Ltd,Consumer Staples,"20,649,200,000",1.64,,
CBA,Commonwealth Bank of Australia,Financials,"113,118,000,000",9,,
CPU,Computershare Ltd,Information Technology,"7,177,470,000",0.57,,
CSL,CSL Ltd,Health Care,"129,254,000,000",10.29,,
DXS,Dexus,Real Estate,"10,017,200,000",0.8,,
FMG,Fortescue Metals Group Ltd,Materials,"45,537,900,000",3.62,,
GMG,Goodman Group,Real Estate,"28,139,300,000",2.24,,
GPT,GPT Group,Real Estate,"7,791,720,000",0.62,,
IAG,Insurance Australia Group Ltd,Financials,"13,935,600,000",1.11,,
JHX,James Hardie Industries Plc,Materials,"11,690,200,000",0.93,,
LLC,Lendlease Group,Real Estate,"8,688,540,000",0.69,,
MQG,Macquarie Group Ltd,Financials,"39,155,600,000",3.12,,
MPL,Medibank Private Ltd,Financials,"7,766,290,000",0.62,,
MGR,Mirvac Group,Real Estate,"9,048,070,000",0.72,,
NAB,National Australia Bank Ltd,Financials,"57,372,200,000",4.57,,
NCM,Newcrest Mining Ltd,Materials,"25,395,500,000",2.02,,
OSH,Oil Search Ltd,Energy,"7,376,370,000",0.59,,
ORI,Orica Ltd,Materials,"7,041,830,000",0.56,,
ORG,Origin Energy Ltd,Energy,"10,708,200,000",0.85,,
QAN,Qantas Airways Ltd,Industrials,"5,978,080,000",0.48,,
QBE,QBE Insurance Group Ltd,Financials,"12,840,900,000",1.02,,
RHC,Ramsay Health Care Ltd,Health Care,"15,941,600,000",1.27,,
RIO,RIO Tinto Ltd,Materials,"36,093,400,000",2.87,,
STO,Santos Ltd,Energy,"11,456,900,000",0.91,,
SCG,Scentre Group,Real Estate,"11,366,900,000",0.9,,
SHL,Sonic Healthcare Ltd,Health Care,"13,390,600,000",1.07,,
S32,SOUTH32 Ltd,Materials,"9,450,220,000",0.75,,
SGP,Stockland,Real Estate,"8,416,760,000",0.67,,
SUN,Suncorp Group Ltd,Financials,"11,588,100,000",0.92,,
SYD,Sydney Airport,Industrials,"13,333,000,000",1.06,,
TLS,Telstra Corporation Ltd,Telecommunication Services,"38,296,400,000",3.05,,
TCL,Transurban Group,Industrials,"39,358,100,000",3.13,,
TWE,Treasury Wine Estates Ltd,Consumer Staples,"7,035,010,000",0.56,,
VCX,Vicinity Centres,Real Estate,"5,987,320,000",0.48,,
WES,Wesfarmers Ltd,Consumer Discretionary,"46,101,900,000",3.67,,
WBC,Westpac Banking Corporation,Financials,"62,698,800,000",4.99,,
WPL,Woodside Petroleum Ltd,Energy,"21,883,400,000",1.74,,
WOW,Woolworths Group Ltd,Consumer Staples,"44,561,800,000",3.55,,
